City,Latitude,Longitude,Country,ISO 2 code,Province,Capital,Population
Karachi,24.86,67.01,Pakistan,PK,Sindh,admin,14835000
Lahore,31.5497,74.3436,Pakistan,PK,Punjab,admin,11021000
Faisalabad,31.418,73.079,Pakistan,PK,Punjab,minor,3203846
Rawalpindi,33.6007,73.0679,Pakistan,PK,Punjab,minor,2098231
Gujranwala,32.15,74.1833,Pakistan,PK,Punjab,minor,2027001
Peshawar,34,71.5,Pakistan,PK,Khyber Pakhtunkhwa,admin,1970042
Multan,30.1978,71.4711,Pakistan,PK,Punjab,minor,1871843
Saidu Sharif,34.75,72.3572,Pakistan,PK,Khyber Pakhtunkhwa,minor,1860310
Hyderabad City,25.3792,68.3683,Pakistan,PK,Sindh,minor,1732693
Islamabad,33.6989,73.0369,Pakistan,PK,Islamabad,primary,1014825
Quetta,30.192,67.007,Pakistan,PK,Balochistan,admin,1001205
Bahawalpur,29.3956,71.6722,Pakistan,PK,Punjab,minor,762111
Sargodha,32.0836,72.6711,Pakistan,PK,Punjab,minor,659862
Sialkot City,32.5,74.5333,Pakistan,PK,Punjab,minor,655852
Sukkur,27.6995,68.8673,Pakistan,PK,Sindh,minor,499900
Larkana,27.56,68.2264,Pakistan,PK,Sindh,minor,490508
Chiniot,31.7167,72.9833,Pakistan,PK,Punjab,minor,477781
Shekhupura,31.7083,74,Pakistan,PK,Punjab,minor,473129
Jhang City,31.2681,72.3181,Pakistan,PK,Punjab,minor,414131
Dera Ghazi Khan,30.05,70.6333,Pakistan,PK,Punjab,minor,399064
Gujrat,32.5736,74.0789,Pakistan,PK,Punjab,minor,390533
Rahimyar Khan,28.4202,70.2952,Pakistan,PK,Punjab,,353203
Kasur,31.1167,74.45,Pakistan,PK,Punjab,minor,314617
Mardan,34.1958,72.0447,Pakistan,PK,Khyber Pakhtunkhwa,minor,300424
Mingaora,34.7717,72.36,Pakistan,PK,Khyber Pakhtunkhwa,,279914
Nawabshah,26.2442,68.41,Pakistan,PK,Sindh,minor,263102
Sahiwal,30.6706,73.1064,Pakistan,PK,Punjab,minor,247706
Mirpur Khas,25.5269,69.0111,Pakistan,PK,Sindh,minor,236961
Okara,30.81,73.4597,Pakistan,PK,Punjab,minor,232386
Mandi Burewala,30.15,72.6833,Pakistan,PK,Punjab,,203454
Jacobabad,28.2769,68.4514,Pakistan,PK,Sindh,minor,200815
Saddiqabad,28.3006,70.1302,Pakistan,PK,Punjab,,189876
Kohat,33.5869,71.4414,Pakistan,PK,Khyber Pakhtunkhwa,minor,170800
Muridke,31.802,74.255,Pakistan,PK,Punjab,,163268
Muzaffargarh,30.0703,71.1933,Pakistan,PK,Punjab,minor,163268
Khanpur,28.6471,70.662,Pakistan,PK,Punjab,,160308
Gojra,31.15,72.6833,Pakistan,PK,Punjab,,157863
Mandi Bahauddin,32.5861,73.4917,Pakistan,PK,Punjab,minor,157352
Abbottabad,34.15,73.2167,Pakistan,PK,Khyber Pakhtunkhwa,minor,148587
Turbat,26.0031,63.0544,Pakistan,PK,Balochistan,minor,147791
Dadu,26.7319,67.775,Pakistan,PK,Sindh,minor,146179
Bahawalnagar,29.9944,73.2536,Pakistan,PK,Punjab,minor,141935
Khuzdar,27.8,66.6167,Pakistan,PK,Balochistan,,141395
Pakpattan,30.35,73.4,Pakistan,PK,Punjab,minor,139525
Tando Allahyar,25.4667,68.7167,Pakistan,PK,Sindh,minor,133487
Ahmadpur East,29.1453,71.2617,Pakistan,PK,Punjab,,128112
Vihari,30.0419,72.3528,Pakistan,PK,Punjab,minor,128034
Jaranwala,31.3342,73.4194,Pakistan,PK,Punjab,,127973
New Mirpur,33.1333,73.75,Pakistan,PK,Azad Kashmir,minor,124352
Kamalia,30.7258,72.6447,Pakistan,PK,Punjab,,121401
Kot Addu,30.47,70.9644,Pakistan,PK,Punjab,,120479
Nowshera,34.0153,71.9747,Pakistan,PK,Khyber Pakhtunkhwa,minor,118594
Swabi,34.1167,72.4667,Pakistan,PK,Khyber Pakhtunkhwa,minor,115018
Khushab,32.2917,72.35,Pakistan,PK,Punjab,minor,110868
Dera Ismail Khan,31.8167,70.9167,Pakistan,PK,Khyber Pakhtunkhwa,minor,109686
Chaman,30.921,66.4597,Pakistan,PK,Balochistan,,107660
Charsadda,34.1453,71.7308,Pakistan,PK,Khyber Pakhtunkhwa,minor,105414
Kandhkot,28.4,69.3,Pakistan,PK,Sindh,,105011
Chishtian,29.7958,72.8578,Pakistan,PK,Punjab,,101659
Hasilpur,29.6967,72.5542,Pakistan,PK,Punjab,,99171
Attock Khurd,33.7667,72.3667,Pakistan,PK,Punjab,,97374
Muzaffarabad,34.37,73.4711,Pakistan,PK,Azad Kashmir,,96000
Mianwali,32.5853,71.5436,Pakistan,PK,Punjab,minor,95007
Jalalpur Jattan,32.7667,74.2167,Pakistan,PK,Punjab,,90130
Bhakkar,31.6333,71.0667,Pakistan,PK,Punjab,minor,88472
Zhob,31.3417,69.4486,Pakistan,PK,Balochistan,minor,88356
Dipalpur,30.6708,73.6533,Pakistan,PK,Punjab,,87176
Kharian,32.811,73.865,Pakistan,PK,Punjab,,85765
Mian Channun,30.4397,72.3544,Pakistan,PK,Punjab,,82586
Bhalwal,32.2653,72.9028,Pakistan,PK,Punjab,,82556
Jamshoro,25.4283,68.2822,Pakistan,PK,Sindh,minor,80000
Pattoki,31.0214,73.8528,Pakistan,PK,Punjab,,77210
Harunabad,29.61,73.1361,Pakistan,PK,Punjab,,77206
Kahror Pakka,29.6236,71.9167,Pakistan,PK,Punjab,,76098
Toba Tek Singh,30.9667,72.4833,Pakistan,PK,Punjab,minor,75943
Samundri,31.0639,72.9611,Pakistan,PK,Punjab,,73911
Shakargarh,32.2628,75.1583,Pakistan,PK,Punjab,,73160
Sambrial,32.475,74.3522,Pakistan,PK,Punjab,,71766
Shujaabad,29.8803,71.295,Pakistan,PK,Punjab,,70595
Hujra Shah Muqim,30.7408,73.8219,Pakistan,PK,Punjab,,70204
Kabirwala,30.4068,71.8667,Pakistan,PK,Punjab,,70123
Mansehra,34.3333,73.2,Pakistan,PK,Khyber Pakhtunkhwa,minor,69085
Lala Musa,32.7006,73.9558,Pakistan,PK,Punjab,,67283
Chunian,30.9639,73.9803,Pakistan,PK,Punjab,,64386
